mod,desc,est,se,df,t,ci_99low,ci_99up,p_val
den,intercept,-0.6656133882650975,0.10705564401995163,50.788434431748136,-6.21745256271635,-0.9521107085600367,-0.37911606797015834,9.487725520406091e-8
bio,intercept,-0.2444126260890661,0.17872898992802821,12.951348591106324,-1.3675040976144264,-0.7831302875357585,0.2943050353576263,0.19473080564145911
