reference,bio_gm2,den_plm2,systype,lbio,lden
"Shahzad et al., 2016",4,5,simp,1.3862943611198906,1.6094379124341003
"Shahzad et al., 2016",4,10,simp,1.3862943611198906,2.302585092994046
"Stevenson et al., 1997",101,26,simp,4.61512051684126,3.258096538021482
"Stevenson et al., 1997",109,210,simp,4.6913478822291435,5.3471075307174685
"Stevenson et al., 1997",44,89,simp,3.784189633918261,4.48863636973214
"Stevenson et al., 1997",39,12,simp,3.6635616461296463,2.4849066497880004
"Stevenson et al., 1997",70,18,simp,4.248495242049359,2.8903717578961645
"Wozniak and Soroka, 2015",19.5,18.9,simp,2.970414465569701,2.9391619220655967
"Wozniak and Soroka, 2015",20.4,48.8,simp,3.0155349008501706,3.8877303128591016
"Wozniak and Soroka, 2015",54.1,49.9,simp,3.9908341858524357,3.910021002757473
"Wozniak and Soroka, 2015",25.3,30.9,simp,3.2308043957334744,3.4307561839036995
"Wozniak and Soroka, 2015",16.1,26.9,simp,2.7788192719904172,3.292126286607793
"Wozniak and Soroka, 2015",16.5,19.3,simp,2.803360380906535,2.9601050959108397
"Wozniak, 2003",30.5,101,simp,3.417726683613366,4.61512051684126
"Wozniak, 2003",10.9,56,simp,2.388762789235098,4.02535169073515
"Adamiak and Adamiak, 2004",27.7,206,div,3.3214324131932926,5.327876168789581
"Adamiak and Adamiak, 2004",25.7,149,div,3.246490991901174,5.003946305945459
"Adamiak and Adamiak, 2004",27.9,150,div,3.32862668882732,5.0106352940962555
"Adamiak and Adamiak, 2004",63.7,287,div,4.154184562578117,5.659482215759621
"Adamiak and Adamiak, 2004",63.3,250,div,4.147885329150131,5.521460917862246
"Adamiak and Adamiak, 2004",23.5,158,div,3.1570004211501135,5.062595033026967
"Adamiak and Adamiak, 2004",23.1,211,div,3.139832617527748,5.351858133476067
"Adamiak and Adamiak, 2004",17.9,134,div,2.884800712846709,4.897839799950911
"Adamiak and Adamiak, 2004",15.9,79,div,2.766319109226186,4.3694478524670215
"Adamiak and Adamiak, 2004",25.4,186,div,3.2347491740244907,5.225746673713202
"Adamiak and Adamiak, 2004",76.2,251,div,4.333361462692601,5.5254529391317835
"Adamiak and Adamiak, 2004",38.4,461,div,3.648057459593681,6.133398042996649
"Adamiak and Adamiak, 2004",7.2,96,div,1.9740810260220096,4.564348191467836
"Adamiak and Adamiak, 2004",5,64,div,1.6094379124341003,4.1588830833596715
"Adamiak and Adamiak, 2004",2.6,33,div,0.9555114450274363,3.4965075614664802
"Adamiak and Adamiak, 2004",38.7,95,div,3.655839600035736,4.553876891600541
"Adamiak and Adamiak, 2004",11.8,99,div,2.468099531471619,4.59511985013459
"Adamiak and Adamiak, 2004",11.4,95,div,2.4336133554004498,4.553876891600541
"Adamiak and Adamiak, 2004",3.5,63,div,1.252762968495368,4.143134726391533
"Adamiak and Adamiak, 2004",3.6,37,div,1.2809338454620642,3.6109179126442243
"Adamiak and Adamiak, 2004",2,19,div,0.6931471805599453,2.9444389791664403
"Adamiak and Adamiak, 2004",37.9,135,div,3.634951112088381,4.90527477843843
"Adamiak and Adamiak, 2004",6.6,68,div,1.8870696490323797,4.219507705176107
"Adamiak and Adamiak, 2004",4.8,59,div,1.5686159179138452,4.07753744390572
"Chikoye et al., 2008",150,181,div,5.0106352940962555,5.198497031265826
"Chikoye et al., 2008",154,182,div,5.0369526024136295,5.204006687076795
"Chikoye et al., 2008",72,120,div,4.276666119016055,4.787491742782046
"Chikoye et al., 2008",175,196,div,5.1647859739235145,5.278114659230517
"Chikoye et al., 2008",146,170,div,4.983606621708336,5.135798437050262
"Chikoye et al., 2008",60,86,div,4.0943445622221,4.454347296253507
"Chikoye et al., 2008",90,149,div,4.499809670330265,5.003946305945459
"Chikoye et al., 2008",112,147,div,4.718498871295094,4.990432586778736
"Chikoye et al., 2008",100,166,div,4.605170185988092,5.111987788356544
"Chikoye et al., 2008",81,213,div,4.394449154672439,5.3612921657094255
"Chikoye et al., 2008",64,212,div,4.1588830833596715,5.356586274672012
"Chikoye et al., 2008",56,126,div,4.02535169073515,4.836281906951478
"Eiszner et al., 1996",137,110,div,4.919980925828125,4.700480365792417
"Eiszner et al., 1996",145,271,div,4.976733742420574,5.602118820879701
"Eiszner et al., 1996",125,133,div,4.8283137373023015,4.890349128221754
"Eiszner et al., 1996",141,238,div,4.948759890378168,5.472270673671475
"Filizadeh et al., 2007",90,26,div,4.499809670330265,3.258096538021482
"Filizadeh et al., 2007",110,34,div,4.700480365792417,3.5263605246161616
"Filizadeh et al., 2007",163,44,div,5.093750200806762,3.784189633918261
"Filizadeh et al., 2007",102,31,div,4.624972813284271,3.4339872044851463
"Filizadeh et al., 2007",143,39,div,4.962844630259907,3.6635616461296463
"Filizadeh et al., 2007",180,48,div,5.19295685089021,3.871201010907891
"Harker et al., 2009",89.9,9.4,div,4.498697941477575,2.2407096892759584
"Harker et al., 2009",49.4,8,div,3.899950424193877,2.0794415416798357
"Harker et al., 2009",34.2,7.2,div,3.5322256440685598,1.9740810260220096
"Harker et al., 2009",18,8,div,2.8903717578961645,2.0794415416798357
"Harker et al., 2009",22.5,7.7,div,3.1135153092103742,2.0412203288596382
"Harker et al., 2009",2.7,6.8,div,0.9932517730102834,1.916922612182061
"Harker et al., 2009",7.2,8.4,div,1.9740810260220096,2.128231705849268
"Harker et al., 2009",3.6,8.3,div,1.2809338454620642,2.1162555148025524
"Harker et al., 2009",3.6,6.4,div,1.2809338454620642,1.8562979903656263
"Harker et al., 2009",1.8,7.5,div,0.5877866649021191,2.0149030205422647
"Harker et al., 2009",3.6,7.6,div,1.2809338454620642,2.028148247292285
"Harker et al., 2009",1.8,7.7,div,0.5877866649021191,2.0412203288596382
"Harker et al., 2009",269.9,29.5,div,5.598051520023959,3.3843902633457743
"Harker et al., 2009",113.6,20.2,div,4.732683506287051,3.005682604407159
"Harker et al., 2009",88.1,18.6,div,4.478472532942134,2.9231615807191558
"Harker et al., 2009",39.8,15.3,div,3.6838669122903918,2.72785282839839
"Harker et al., 2009",31.2,12.8,div,3.4404180948154366,2.5494451709255714
"Harker et al., 2009",5.7,7.6,div,1.7404661748405046,2.028148247292285
"Harker et al., 2009",17,10.3,div,2.833213344056216,2.33214389523559
"Harker et al., 2009",5.7,7,div,1.7404661748405046,1.9459101490553132
"Harker et al., 2009",5.7,6.5,div,1.7404661748405046,1.8718021769015913
"Harker et al., 2009",5.7,5.8,div,1.7404661748405046,1.7578579175523736
"Harker et al., 2009",5.7,5.1,div,1.7404661748405046,1.62924053973028
"Harker et al., 2009",5.7,4.9,div,1.7404661748405046,1.589235205116581
"Harker et al., 2009",800,88.3,div,6.684611727667927,4.480740107609915
"Harker et al., 2009",262.6,49,div,5.5706319618686955,3.8918202981106265
"Harker et al., 2009",218.1,44.5,div,5.384953673207583,3.7954891891721947
"Harker et al., 2009",81.8,27.5,div,4.404277243608702,3.3141860046725258
"Harker et al., 2009",54.5,21,div,3.9982007016691985,3.044522437723423
"Harker et al., 2009",18.2,8.4,div,2.9014215940827497,2.128231705849268
"Harker et al., 2009",27.3,11.9,div,3.3068867021909143,2.4765384001174837
"Harker et al., 2009",9.1,4.8,div,2.2082744135228043,1.5686159179138452
"Marenco et al., 1999",77.45,187.5,div,4.349632566862877,5.233778845410465
"Marenco et al., 1999",73.37,131.25,div,4.295515132725903,4.877103901471733
"Marenco et al., 1999",99.46,29.68,div,4.599755553286593,3.39047341829918
"Seibutis et al., 2006",1,12.7,div,0,2.5416019934645457
"Seibutis et al., 2006",2.4,19.4,div,0.8754687373538999,2.9652730660692823
"Seibutis et al., 2006",1.1,12.1,div,0.09531017980432493,2.4932054526026954
"Seibutis et al., 2006",1,13.7,div,0,2.617395832834079
"Seibutis et al., 2006",2.9,17.8,div,1.0647107369924282,2.8791984572980396
"Seibutis et al., 2006",1.5,7.3,div,0.4054651081081644,1.9878743481543455
"Seibutis et al., 2006",2,9.2,div,0.6931471805599453,2.2192034840549946
"Seibutis et al., 2006",4.7,14.2,div,1.547562508716013,2.653241964607215
"Seibutis et al., 2006",1.1,6.4,div,0.09531017980432493,1.8562979903656263
"Shahzad et al., 2016",158,111,div,5.062595033026967,4.709530201312334
"Shahzad et al., 2016",141,105,div,4.948759890378168,4.653960350157523
"Shahzad et al., 2016",149,154,div,5.003946305945459,5.0369526024136295
"Shahzad et al., 2016",23,63,div,3.1354942159291497,4.143134726391533
"Shahzad et al., 2016",11,19,div,2.3978952727983707,2.9444389791664403
"Shahzad et al., 2016",12,28,div,2.4849066497880004,3.332204510175204
"Shahzad et al., 2016",8,19,div,2.0794415416798357,2.9444389791664403
"Shahzad et al., 2016",6,9,div,1.791759469228055,2.1972245773362196
"Shahzad et al., 2016",6,12,div,1.791759469228055,2.4849066497880004
"Shahzad et al., 2016",6,19,div,1.791759469228055,2.9444389791664403
"Shahzad et al., 2016",4,17,div,1.3862943611198906,2.833213344056216
"Shahzad et al., 2016",4,8,div,1.3862943611198906,2.0794415416798357
"Shahzad et al., 2016",5,11,div,1.6094379124341003,2.3978952727983707
"Shahzad et al., 2016",7,19,div,1.9459101490553132,2.9444389791664403
"Shahzad et al., 2016",4,9,div,1.3862943611198906,2.1972245773362196
"Shahzad et al., 2016",4,7,div,1.3862943611198906,1.9459101490553132
"Shahzad et al., 2016",5,21,div,1.6094379124341003,3.044522437723423
"Shahzad et al., 2016",6,14,div,1.791759469228055,2.6390573296152584
"Shahzad et al., 2016",50,117,div,3.912023005428146,4.762173934797756
"Shahzad et al., 2016",81,67,div,4.394449154672439,4.204692619390966
"Shahzad et al., 2016",176,199,div,5.170483995038151,5.293304824724492
"Shahzad et al., 2016",23,42,div,3.1354942159291497,3.7376696182833684
"Shahzad et al., 2016",7,12,div,1.9459101490553132,2.4849066497880004
"Shahzad et al., 2016",7,20,div,1.9459101490553132,2.995732273553991
"Shahzad et al., 2016",6,17,div,1.791759469228055,2.833213344056216
"Shahzad et al., 2016",5,7,div,1.6094379124341003,1.9459101490553132
"Shahzad et al., 2016",3,16,div,1.0986122886681098,2.772588722239781
"Shahzad et al., 2016",3,8,div,1.0986122886681098,2.0794415416798357
"Shahzad et al., 2016",2,4,div,0.6931471805599453,1.3862943611198906
"Shahzad et al., 2016",5,8,div,1.6094379124341003,2.0794415416798357
"Shahzad et al., 2016",4,14,div,1.3862943611198906,2.6390573296152584
"Shahzad et al., 2016",3,7,div,1.0986122886681098,1.9459101490553132
"Shahzad et al., 2016",3,6,div,1.0986122886681098,1.791759469228055
"Shahzad et al., 2016",3,17,div,1.0986122886681098,2.833213344056216
"Shahzad et al., 2016",3,9,div,1.0986122886681098,2.1972245773362196
"Shahzad et al., 2016",2,5,div,0.6931471805599453,1.6094379124341003
"Stevenson et al., 1997",250,40,div,5.521460917862246,3.6888794541139363
"Stevenson et al., 1997",214,186,div,5.365976015021851,5.225746673713202
"Stevenson et al., 1997",150,115,div,5.0106352940962555,4.74493212836325
"Stevenson et al., 1997",285,228,div,5.652489180268651,5.429345628954441
"Stevenson et al., 1997",230,31,div,5.438079308923196,3.4339872044851463
"Stevenson et al., 1997",183,52,div,5.209486152841421,3.9512437185814275
"Stevenson et al., 1997",81,43,div,4.394449154672439,3.7612001156935624
"Wozniak and Soroka, 2015",15.8,16.2,div,2.760009940032921,2.785011242238338
"Wozniak and Soroka, 2015",17.1,33.1,div,2.8390784635086144,3.4995332823830174
"Wozniak and Soroka, 2015",39.5,21.5,div,3.676300671907076,3.068052935133617
"Wozniak and Soroka, 2015",20.2,25,div,3.005682604407159,3.2188758248682006
"Wozniak and Soroka, 2015",11.8,16.5,div,2.468099531471619,2.803360380906535
"Wozniak and Soroka, 2015",16.8,21.5,div,2.8213788864092133,3.068052935133617
"Wozniak, 2003",24.5,93,div,3.1986731175506815,4.532599493153256
"Wozniak, 2003",20.3,56,div,3.0106208860477417,4.02535169073515
"Wozniak, 2003",10.9,53,div,2.388762789235098,3.970291913552122
"Wozniak, 2003",14.3,32,div,2.6602595372658615,3.4657359027997265
