reference,bio_gm2,den_plm2,systype,lbio,lden
"Adamiak and Adamiak, 2004",137,469,simp,4.919980925828125,6.150602768446279
"Adamiak and Adamiak, 2004",207.4,691,simp,5.334649295795427,6.53813982376767
"Adamiak and Adamiak, 2004",193.6,919,simp,5.265794174842477,6.823286122355687
"Adamiak and Adamiak, 2004",125.7,545,simp,4.8338981155962015,6.300785794663244
"Adamiak and Adamiak, 2004",166.3,493,simp,5.113793386198882,6.20050917404269
"Adamiak and Adamiak, 2004",178.9,746,simp,5.186826990514674,6.61472560020376
"Adamiak and Adamiak, 2004",144.5,734,simp,4.973279507552487,6.598509028614515
"Adamiak and Adamiak, 2004",151,1150,simp,5.017279836814924,7.047517221357296
"Adamiak and Adamiak, 2004",163.9,807,simp,5.099256485749784,6.693323668269949
"Adamiak and Adamiak, 2004",119.5,653,simp,4.783316371371566,6.481577129276431
"Adamiak and Adamiak, 2004",138,503,simp,4.927253685157205,6.220590170099739
"Adamiak and Adamiak, 2004",136.2,705,simp,4.9141243937154115,6.558197802812269
"Adamiak and Adamiak, 2004",146.9,424,simp,4.989752083179832,6.049733455231958
"Adamiak and Adamiak, 2004",75.7,254,simp,4.3267781604434035,5.537334267018537
"Adamiak and Adamiak, 2004",103.5,214,simp,4.639571612705423,5.365976015021851
"Adamiak and Adamiak, 2004",66.1,126,simp,4.191168746857641,4.836281906951478
"Adamiak and Adamiak, 2004",53.7,153,simp,3.983413001514819,5.030437921392435
"Adamiak and Adamiak, 2004",151,292,simp,5.017279836814924,5.676753802268282
"Adamiak and Adamiak, 2004",151.4,537,simp,5.019925341003349,6.285998094508865
"Adamiak and Adamiak, 2004",59.9,206,simp,4.092676505121403,5.327876168789581
"Adamiak and Adamiak, 2004",98.3,219,simp,4.5880240271531205,5.389071729816501
"Adamiak and Adamiak, 2004",103.5,99,simp,4.639571612705423,4.59511985013459
"Adamiak and Adamiak, 2004",58.4,114,simp,4.067315889834181,4.736198448394496
"Adamiak and Adamiak, 2004",114.2,207,simp,4.73795129722191,5.332718793265369
"Chikoye et al., 2008",162,183,simp,5.087596335232384,5.209486152841421
"Chikoye et al., 2008",175,197,simp,5.1647859739235145,5.2832037287379885
"Chikoye et al., 2008",124,214,simp,4.820281565605037,5.365976015021851
"Chikoye et al., 2008",145,243,simp,4.976733742420574,5.493061443340548
"Eiszner et al., 1996",117,158,simp,4.762173934797756,5.062595033026967
"Eiszner et al., 1996",143,181,simp,4.962844630259907,5.198497031265826
"Eiszner et al., 1996",93,130,simp,4.532599493153256,4.867534450455582
"Eiszner et al., 1996",170,242,simp,5.135798437050262,5.488937726156687
"Filizadeh et al., 2007",288,68,simp,5.662960480135946,4.219507705176107
"Harker et al., 2009",156.4,6.2,simp,5.052416828111211,1.824549292051046
"Harker et al., 2009",70.1,7.6,simp,4.249922794040544,2.028148247292285
"Harker et al., 2009",45.8,7.2,simp,3.824284091120139,1.9740810260220096
"Harker et al., 2009",28.7,6.9,simp,3.3568971227655755,1.9315214116032138
"Harker et al., 2009",25.2,5.8,simp,3.2268439945173775,1.7578579175523736
"Harker et al., 2009",11.7,6.5,simp,2.4595888418037104,1.8718021769015913
"Harker et al., 2009",5.4,7.3,simp,1.6863989535702288,1.9878743481543455
"Harker et al., 2009",1.8,6,simp,0.5877866649021191,1.791759469228055
"Harker et al., 2009",2.7,6.5,simp,0.9932517730102834,1.8718021769015913
"Harker et al., 2009",1.8,5.5,simp,0.5877866649021191,1.7047480922384253
"Harker et al., 2009",1.8,6.8,simp,0.5877866649021191,1.916922612182061
"Harker et al., 2009",3.6,7.7,simp,1.2809338454620642,2.0412203288596382
"Harker et al., 2009",494.3,32.7,simp,6.203142620312914,3.487375077903208
"Harker et al., 2009",224.4,21.8,simp,5.413430173648541,3.0819099697950434
"Harker et al., 2009",227.3,19.1,simp,5.426270730858498,2.9496883350525844
"Harker et al., 2009",91,14.9,simp,4.51085950651685,2.7013612129514133
"Harker et al., 2009",93.8,12.8,simp,4.541164856012179,2.5494451709255714
"Harker et al., 2009",31.3,9,simp,3.4436180975461075,2.1972245773362196
"Harker et al., 2009",22.7,11,simp,3.122364924487357,2.3978952727983707
"Harker et al., 2009",11.4,8.3,simp,2.4336133554004498,2.1162555148025524
"Harker et al., 2009",14,6.7,simp,2.6390573296152584,1.9021075263969205
"Harker et al., 2009",2.8,6.3,simp,1.0296194171811581,1.840549633397487
"Harker et al., 2009",8.5,5.8,simp,2.1400661634962708,1.7578579175523736
"Harker et al., 2009",5.7,6.7,simp,1.7404661748405046,1.9021075263969205
"Harker et al., 2009",1536.4,152.8,simp,7.33719729647175,5.02912987673242
"Harker et al., 2009",672.7,57.1,simp,6.51129946503156,4.044804116661965
"Harker et al., 2009",1090.9,46.4,simp,6.994758322603711,3.8372994592322094
"Harker et al., 2009",281.8,29.4,simp,5.64119759946458,3.380994674344636
"Harker et al., 2009",318.2,25.6,simp,5.762680115903686,3.242592351485517
"Harker et al., 2009",90.9,12.2,simp,4.509760001183433,2.501435951739211
"Harker et al., 2009",90.9,16.6,simp,4.509760001183433,2.8094026953624978
"Harker et al., 2009",45.5,10.3,simp,3.817712325956905,2.33214389523559
"Harker et al., 2009",45.5,7.4,simp,3.817712325956905,2.0014800002101243
"Harker et al., 2009",9.1,7.4,simp,2.2082744135228043,2.0014800002101243
"Harker et al., 2009",18.2,4.7,simp,2.9014215940827497,1.547562508716013
"Marenco et al., 1999",71.77,684.48,simp,4.273466561441981,6.528659425894041
"Seibutis et al., 2006",2.4,7.9,simp,0.8754687373538999,2.066862759472976
"Seibutis et al., 2006",6.3,19.7,simp,1.840549633397487,2.9806186357439426
"Shahzad et al., 2016",172,146,simp,5.147494476813453,4.983606621708336
"Shahzad et al., 2016",12,17,simp,2.4849066497880004,2.833213344056216
"Shahzad et al., 2016",8,11,simp,2.0794415416798357,2.3978952727983707
"Shahzad et al., 2016",7,14,simp,1.9459101490553132,2.6390573296152584
"Shahzad et al., 2016",7,13,simp,1.9459101490553132,2.5649493574615367
"Shahzad et al., 2016",150,556,simp,5.0106352940962555,6.320768294250582
"Shahzad et al., 2016",8,13,simp,2.0794415416798357,2.5649493574615367
